Station_Name,STATION_ID,Lat,Long,error_in_m,datum_period,station_datum,navd88,mhhw,mhw,mtl,msl,dtl,mlw,mllw,gt,mn
SANTA ROSA HOGTOWN BAYOU,8729376,30.4,-86.2283,0.0271,06/01/1992 - 10/31/1992,NA,0.341,0.54,0.531,0.455,0.456,0.455,0.37,0.362,0.178,0.161
"HUCKLEBERRY LANDING, JACKSON RIVER",8728757,29.77,-85.085,0.0328,06/01/1977 - 08/31/1977,NA,0.331,0.542,0.508,0.399,0.386,0.357,0.29,0.173,0.369,0.218
STATE ROAD A1A BRIDGE,8720692,29.704531,-81.227856,0.0222,10/01/2003 - 10/31/2003,NA,-0.001,0.559,0.463,-0.091,-0.102,-0.068,-0.646,-0.696,1.256,1.109
VILANO BEACH (ICWW),8720554,29.9167,-81.3,0.0144,10/01/2003 - 07/31/2004,NA,0.002,0.571,0.469,-0.177,-0.168,-0.153,-0.824,-0.878,1.45,1.294
"CRESCENT BEACH, MATANZAS RIVER",8720651,29.7683,-81.2583,0.0158,01/01/2004 - 12/31/2004,NA,0.001,0.576,0.481,-0.138,-0.11,-0.118,-0.757,-0.813,1.39,1.238
"HOBE SOUND, STATE PARK",8722445,27.0367,-80.1067,0.0377,11/01/1972 - 12/31/1972,NA,0.594,0.598,0.555,0.298,0.301,0.298,0.041,-0.001,0.6,0.515
"STATE ROAD 312, MATANZAS RIVER",8720582,29.8667,-81.3067,0.0146,10/01/2003 - 09/30/2004,NA,-0.002,0.605,0.504,-0.148,-0.133,-0.126,-0.801,-0.859,1.464,1.306
"ST. JOSEPH POINT, ST. JOSEPH BAY",8728958,29.8733,-85.39,0.0239,07/01/1976 - 07/31/1976,NA,0.376,0.611,0.518,0.341,0.369,0.374,0.164,0.137,0.474,0.355
"NORTH FORK, ST. LUCIE RIVER",8722334,27.2433,-80.3133,0.0321,08/01/1972 - 12/31/1972,NA,0.717,0.618,0.586,0.437,0.443,0.434,0.288,0.251,0.368,0.298
"WWTD, MAYPORT NAVAL STA., ST JOHNS RIVER",8720211,30.4,-81.4133,0.0112,11/01/2003 - 10/31/2004,NA,0.014,0.626,0.536,-0.174,-0.159,-0.153,-0.886,-0.933,1.56,1.422
WILLIAMSBURG BRIDGE,8518699,40.7117,-73.9683,0.0159,10/13/2000 - 11/12/2000,NA,-0.001,0.652,0.553,-0.091,-0.067,-0.071,-0.734,-0.794,1.446,1.287
"DEGAUSSING STRUCTURE, MAYPORT NAVAL STA.",8720214,30.3967,-81.395,0.0112,05/01/1998 - 10/31/1998,NA,0.02,0.664,0.564,-0.167,-0.167,-0.142,-0.9,-0.949,1.614,1.465
RAMROD KEY,8724255,24.66,-81.4233,0.0215,01/01/1974 - 02/28/1974,NA,0.718,0.673,0.598,0.459,0.46,0.481,0.32,0.288,0.386,0.278
"SUMMERLAND KEY, WEST SIDE",8724276,24.65,-81.4467,0.0218,04/01/1975 - 04/30/1975,NA,0.66,0.676,0.586,0.419,0.413,0.444,0.252,0.212,0.464,0.334
"HALLS RIVER BRIDGE, HALLS RIVER",8727293,28.8,-82.6033,0.0369,09/01/1978 - 11/30/1978,NA,0.616,0.681,0.634,0.566,0.574,0.577,0.497,0.473,0.208,0.137
"QUEENSBORO BRIDGE, EAST RIVER",8518687,40.7583,-73.9583,0.0172,08/01/2001 - 10/31/2001,NA,-0.002,0.688,0.587,-0.072,-0.063,-0.054,-0.732,-0.796,1.484,1.32
SUMMERLAND KEY EAST,8724266,24.6517,-81.435,0.0178,09/01/1974 - 09/30/1974,NA,0.706,0.712,0.637,0.466,0.467,0.479,0.295,0.246,0.467,0.341
"PORT MANATEE, TAMPA BAY",8726384,27.6387,-82.5621,0.0046,12/01/1999 - 11/30/2008; 01/01/2012 - 12/31/2016,NA,0.533,0.728,0.645,0.41,0.417,0.396,0.176,0.064,0.665,0.469
PIGEON KEY ATLANTIC SIDE,8724032,24.7033,-81.155,0.0195,04/01/1975 - 04/30/1975,NA,0.77,0.728,0.651,0.483,0.489,0.502,0.315,0.276,0.452,0.337
LOXAHATCHEE RIVER,8722481,26.97,-80.1267,0.0226,12/01/1972 - 01/31/1973,NA,0.774,0.742,0.697,0.403,0.402,0.402,0.109,0.062,0.68,0.589
PORT SALERNO,8722383,27.1517,-80.195,0.0339,08/01/1972 - 09/30/1972,NA,0.93,0.786,0.753,0.619,0.621,0.618,0.485,0.449,0.337,0.268
"WASHINGTON NAVY YARD,D.C.",8593005,38.8717,-76.995,0.0108,08/01/1995 - 10/31/1995,NA,0.276,0.797,0.726,0.296,0.296,0.308,-0.132,-0.179,0.977,0.859
"RIVER VILLAGE, ANCLOTE RIVER",8726906,28.1567,-82.7467,0.0196,01/01/1976 - 01/31/1976,NA,0.512,0.801,0.703,0.44,0.446,0.436,0.177,0.071,0.731,0.525
"GREAT POCKET,ST. LUCIE INLET",8722381,27.155,-80.1717,0.0264,08/01/1972 - 12/31/1972,NA,0.886,0.804,0.772,0.611,0.61,0.607,0.449,0.409,0.395,0.323
DUMFOUNDLING BAY,8723044,25.9417,-80.125,0.0211,08/01/1973 - 08/31/1973,NA,0.704,0.808,0.787,0.479,0.477,0.468,0.171,0.128,0.681,0.617
SOCASTEE BRIDGE,8660983,33.6867,-79.005,0.0134,10/01/1976 - 12/31/1976,NA,0.33,0.831,0.789,0.473,0.516,0.473,0.156,0.114,0.717,0.633
"WABASSO,INDIAN RIVER",8722059,27.755,-80.425,0.0421,06/01/1972 - 08/31/1972,NA,1.037,0.836,0.818,0.762,0.758,0.763,0.705,0.69,0.146,0.113
"PARKER BRANCH, LAIRD BAYOU, EAST BAY",8729039,30.1367,-85.5167,0.0229,08/01/1976 - 09/30/1976,NA,0.585,0.845,0.819,0.626,0.626,0.626,0.432,0.407,0.439,0.387
"MILLVIEW, PERDIDO BAY",8729905,30.4183,-87.3567,0.0258,11/01/2006 - 01/31/2007,NA,0.6,0.86,0.854,0.73,0.723,0.735,0.607,0.609,0.252,0.247
"JAMESTOWN BRIDGE, SANTEE RIVER",8662405,33.305,-79.6783,0.0291,05/01/1977 - 08/31/1977,NA,0.33,0.871,0.826,0.656,0.644,0.668,0.485,0.465,0.405,0.341
FISH TRAP BAY,8725272,26.3367,-81.845,0.0282,04/01/1978 - 05/31/1978,NA,0.819,0.874,0.811,0.716,0.715,0.723,0.621,0.572,0.301,0.189
"RODANTHE, PAMLICO SOUND",8653215,35.595,-75.4717,0.02,12/01/1977 - 01/31/1978,NA,0.716,0.876,0.823,0.713,0.708,0.727,0.603,0.577,0.298,0.219
"SPANISH HARBOR VIADUCT, BIG PINE KEY",8724178,24.6483,-81.33,0.019,06/01/1974 - 06/30/1974,NA,0.907,0.891,0.814,0.655,0.659,0.678,0.496,0.465,0.425,0.319
"PARKER, EAST BAY",8729084,30.1267,-85.6117,0.0124,11/01/1976 - 11/30/1976,NA,0.65,0.894,0.879,0.681,0.679,0.678,0.483,0.462,0.432,0.395
"CSX ROCKPORT, MCKAY BAY ENTRANCE",8726667,27.913333,-82.425,0.0048,01/01/1999 - 12/31/2007,NA,0.589,0.895,0.791,0.514,0.521,0.488,0.236,0.081,0.814,0.555
"DOG ISLAND, EAST END",8728408,29.81,-84.585,0.0163,03/01/1979 - 03/31/1979,NA,0.635,0.905,0.849,0.589,0.578,0.532,0.329,0.159,0.746,0.519
LITTLE DUCK KEY,8724093,24.6817,-81.2283,0.0237,06/01/1974 - 06/30/1974,NA,0.989,0.912,0.841,0.711,0.71,0.723,0.581,0.534,0.378,0.261
"FOWLER BLUFF, SUWANNEE RIVER",8727512,29.3983,-83.0233,0.0197,09/01/1978 - 12/31/1978,NA,0.424,0.918,0.849,0.6,0.615,0.588,0.35,0.258,0.659,0.5
ANNA MARIA OUTSIDE,8726243,27.4967,-82.7133,0.0195,07/01/1990 - 10/31/1990,NA,0.726,0.919,0.828,0.588,0.595,0.576,0.348,0.232,0.686,0.48
"SPRING BAYOU, TARPON SPRINGS",8726892,28.1467,-82.7583,0.0183,01/01/1976 - 01/31/1976,NA,0.549,0.921,0.807,0.476,0.485,0.456,0.145,-0.008,0.93,0.661
ST ANDREW SOUND,8729052,30.025,-85.5417,0.0239,07/01/1976 - 08/31/1976,NA,0.683,0.924,0.888,0.718,0.71,0.714,0.548,0.504,0.42,0.339
"NORTH FORK, LOXAHATCHEE RIVER",8722478,26.975,-80.1133,0.0228,12/01/1972 - 01/31/1973,NA,0.884,0.929,0.881,0.591,0.59,0.591,0.3,0.253,0.676,0.581
"HONNEYMOON ISLAND, INSIDE",8726809,28.0617,-82.8133,0.0152,06/01/1975 - 08/31/1975,NA,0.585,0.937,0.83,0.516,0.528,0.488,0.202,0.039,0.898,0.627
"NORTH PRONG, WETAPPO CREEK",8728941,30.0033,-85.3483,0.0229,05/01/1976 - 05/31/1976,NA,0.614,0.939,0.9,0.692,0.685,0.681,0.484,0.423,0.516,0.416
APALACHICOLA RIVER,8728711,29.7633,-85.0333,0.0119,12/01/1981 - 11/30/1982,NA,0.655,0.94,0.915,0.769,0.76,0.734,0.622,0.528,0.413,0.293
"UPPER MATECUMBE KEY,FLORIDA BAY",8723808,24.925,-80.6317,0.02,03/01/1972 - 02/28/1973,NA,1.068,0.941,0.916,0.842,0.839,0.847,0.768,0.753,0.187,0.148
IMPERIAL RIVER ENTRANCE,8725269,26.3367,-81.83,0.0228,04/01/1978 - 08/31/1978,NA,0.873,0.943,0.884,0.79,0.792,0.803,0.695,0.663,0.279,0.189
LOXAHATCHEE RIVER LOCK,8722496,26.935,-80.1433,0.0222,12/01/1972 - 01/31/1973,NA,0.906,0.943,0.898,0.607,0.607,0.605,0.316,0.266,0.677,0.582
"MOBILE STATE DOCKS, MOBILE RIVER",8737048,30.7083,-88.0433,0.0097,10/01/2007 - 09/30/2012,NA,0.604,0.954,0.929,0.708,0.707,0.707,0.487,0.46,0.495,0.442
NORTH LOXAHATCHEE RIVER,8722472,26.9867,-80.1417,0.0291,12/01/1972 - 01/31/1973,NA,0.908,0.959,0.906,0.594,0.595,0.593,0.282,0.227,0.732,0.624
"MASON CREEK, HOMOSASSA BAY",8727274,28.7617,-82.6383,0.02,03/01/1978 - 02/28/1979,NA,0.739,0.96,0.889,0.743,0.729,0.754,0.596,0.548,0.412,0.292
JOHNS PASS,8726533,27.785,-82.7817,0.0173,06/01/1976 - 07/31/1976,NA,0.718,0.966,0.858,0.638,0.635,0.624,0.418,0.282,0.683,0.441
MCILVAINE BAY,8724996,25.985,-81.7017,0.0152,08/01/1978 - 12/31/1978,NA,0.793,0.97,0.897,0.605,0.612,0.572,0.313,0.175,0.795,0.584
"TAMPA, HOOKER POINT, HILLSBOROUGH BAY",8726668,27.9183,-82.445,0.0151,12/01/1978 - 03/31/1979,NA,0.662,0.976,0.893,0.592,0.6,0.567,0.291,0.158,0.818,0.602
"CLEARWATER, CLEARWATER HARBOR",8726706,27.955,-82.8067,0.0119,11/01/1975 - 02/29/1976; 04/01/1976 - 05/31/1976; 08/01/1976 - 09/30/1976,NA,0.681,0.982,0.876,0.588,0.591,0.564,0.3,0.146,0.836,0.576
"VENICE, GULF OF MEXICO",8725858,27.0717,-82.4533,0.0208,06/01/1990 - 09/30/1990,NA,0.808,0.982,0.9,0.662,0.668,0.646,0.424,0.311,0.671,0.476
ORMOND BEACH,8720954,29.285,-81.0533,0.0331,11/01/1978 - 11/30/1978,NA,1.014,0.983,0.96,0.87,0.865,0.869,0.78,0.755,0.228,0.181
"KEEWAYDIN ISLAND, INSIDE",8725019,26.025,-81.7683,0.0155,05/01/1978 - 07/31/1978,NA,0.802,0.987,0.913,0.624,0.633,0.589,0.335,0.192,0.795,0.578
"GREEN COVE SPRINGS, ST. JOHNS R.",8720496,29.99,-81.6633,0.0214,04/01/1978 - 03/31/1979,NA,0.838,0.987,0.965,0.846,0.845,0.85,0.726,0.714,0.273,0.238
"WASHINGTON, TAR RIVER, PAMLICO RIVER",8653365,35.545,-77.0617,0.0348,05/01/2012 - 07/31/2012,NA,0.953,0.989,0.949,0.834,0.839,0.828,0.718,0.668,0.322,0.231
SOUTH DELRAY BEACH,8722761,26.4467,-80.065,0.0247,04/01/1973 - 04/30/1973,NA,0.873,1,0.961,0.6,0.578,0.596,0.239,0.192,0.808,0.722
TURKEY POINT,8728360,29.915,-84.5117,0.0072,10/01/1989 - 09/30/1995,NA,0.673,1.001,0.937,0.644,0.63,0.584,0.352,0.167,0.834,0.585
DESOTO POINT,8726273,27.5233,-82.65,0.0178,06/01/1990 - 10/31/1990,NA,0.841,1.008,0.923,0.69,0.697,0.678,0.457,0.348,0.66,0.466
NORTH DANIA SOUND,8722957,26.08,-80.1117,0.0172,08/01/1973 - 08/31/1973,NA,0.86,1.008,0.972,0.595,0.596,0.587,0.219,0.166,0.841,0.753
COCKROACH BAY,8726425,27.6783,-82.5033,0.0191,08/01/1990 - 08/31/1990,NA,0.819,1.01,0.928,0.742,0.736,0.756,0.556,0.502,0.508,0.372
"MULLET KEY, TAMPA BAY",8726364,27.615,-82.7267,0.013,06/01/1990 - 05/31/1991,NA,0.84,1.01,0.932,0.707,0.714,0.693,0.482,0.376,0.635,0.451
"WIGGINS PASS, INSIDE",8725235,26.29,-81.8183,0.0132,12/01/1977 - 11/30/1978,NA,0.862,1.018,0.948,0.706,0.715,0.674,0.464,0.33,0.688,0.484
"GREENS DITCH, LAKE ST. CATHERINE",8761426,30.1117,-89.76,0.0208,12/01/1982 - 11/30/1983,NA,0.685,1.023,1.015,0.901,0.905,0.904,0.788,0.784,0.238,0.226
"APOLLO BEACH, HILLSBOROUGH BAY",8726537,27.7867,-82.4267,0.0198,07/01/1990 - 12/31/1990,NA,0.788,1.029,0.94,0.678,0.683,0.654,0.415,0.279,0.75,0.525
"PADRE ISLAND, BRAZOS SANTIAGO PASS",8779750,26.0683,-97.1567,0.0077,03/01/1991 - 02/28/1994,NA,0.854,1.029,1.012,0.821,0.846,0.805,0.63,0.58,0.449,0.382
DOCTORS ARM,8724201,24.69,-81.3567,0.0194,10/01/1974 - 10/31/1974,NA,1.051,1.03,0.952,0.833,0.85,0.848,0.714,0.666,0.363,0.238
HOWARD PARK,8726904,28.1533,-82.8017,0.018,11/01/1975 - 11/30/1975,NA,0.677,1.031,0.92,0.597,0.6,0.569,0.274,0.107,0.924,0.646
"LANARK, ST. GEORGES SOUND",8728412,29.8783,-84.595,0.0155,02/01/1977 - 04/30/1977,NA,0.739,1.036,0.976,0.7,0.691,0.638,0.424,0.239,0.798,0.552
"FORT WALTON BEACH, SANTA ROSA SOUND",8729554,30.4017,-86.61,0.0436,02/01/1986 - 04/30/1986,NA,0.717,1.042,1.038,0.963,0.954,0.964,0.888,0.886,0.156,0.15
BAHIA HONDA KEY,8724138,24.655,-81.2817,0.0138,02/01/1971 - 01/31/1972,NA,1.087,1.045,0.973,0.797,0.803,0.81,0.621,0.575,0.47,0.352
"WEST CREEK, WESTECUNK CREEK",8533987,39.6317,-74.2967,0.0191,03/01/1977 - 11/30/1977,NA,0.651,1.049,0.968,0.651,0.647,0.678,0.334,0.307,0.743,0.635
"VERO BEACH, INDIAN RIVER",8722125,27.6317,-80.3717,0.0456,04/01/1999 - 06/30/1999,NA,1.186,1.049,1.024,0.91,0.908,0.913,0.796,0.777,0.272,0.228
"EGMONT KEY, TAMPA BAY",8726347,27.6017,-82.76,0.0164,06/01/1990 - 11/30/1990,NA,0.879,1.05,0.973,0.741,0.748,0.721,0.509,0.393,0.657,0.464
"TARPON SPRINGS, ANCLOTE RIVER",8726905,28.16,-82.7683,0.0177,10/01/1975 - 10/31/1975,NA,0.699,1.062,0.952,0.634,0.646,0.612,0.316,0.162,0.9,0.637
"ANNA MARIA, CITY PIER",8726282,27.5333,-82.73,0.02,06/01/1976 - 08/31/1976,NA,0.898,1.065,0.987,0.752,0.76,0.735,0.517,0.405,0.661,0.471
NEWFOUND HARBOR,8724215,24.6517,-81.375,0.0206,01/01/1975 - 01/31/1975,NA,1.099,1.07,0.998,0.828,0.827,0.846,0.658,0.622,0.449,0.34
WAKULLA RIVER,8728171,30.1767,-84.2467,0.0243,03/01/1977 - 03/31/1977; 06/01/1977 - 06/30/1977,NA,0.376,1.072,1.038,0.911,0.894,0.9,0.784,0.728,0.344,0.255
"VACA KEY, FLORIDA BAY",8723970,24.7117,-81.105,0.0013,01/01/1983 - 12/31/1987; 01/01/1989 - 12/31/1991; 01/01/1994 - 12/31/2001,NA,1.182,1.072,1.04,0.931,0.931,0.924,0.822,0.775,0.297,0.218
NO NAME KEY,8724168,24.6983,-81.3183,0.0209,12/01/1973 - 02/28/1974,NA,1.148,1.075,0.996,0.892,0.915,0.902,0.788,0.73,0.346,0.209
"TURKEY POINT, BISCAYNE BAY",8723423,25.4367,-80.33,0.0178,05/01/1970 - 04/30/1971,NA,1.074,1.081,1.063,0.817,0.809,0.809,0.571,0.538,0.543,0.492
"NOKOMIS, VENICE INLET",8725899,27.1233,-82.47,0.0315,06/14/1989 - 07/13/1989,NA,1.053,1.085,1.023,0.824,0.829,0.818,0.625,0.551,0.534,0.398
OZONA,8726819,28.07,-82.7817,0.0155,11/01/1975 - 11/30/1975,NA,0.754,1.09,0.986,0.659,0.665,0.629,0.332,0.168,0.922,0.654
"PLANTATION KEY, ATLANTIC SIDE",8723769,24.9733,-80.55,0.0232,07/01/1975 - 07/31/1975,NA,0.999,1.09,1.049,0.723,0.729,0.714,0.397,0.338,0.751,0.652
PACKWOOD PLACE,8721222,28.94,-80.87,0.0288,02/01/1979 - 03/31/1979,NA,1.027,1.09,1.04,0.878,0.876,0.9,0.716,0.709,0.381,0.323
"SHELL POINT, WALKER CREEK",8728229,30.06,-84.29,0.0036,01/01/1974 - 12/31/1981; 01/01/1983 - 12/31/1986,NA,0.601,1.097,1.024,0.621,0.607,0.554,0.217,0.012,1.086,0.807
WEST PALM BEACH,8722654,26.645,-80.045,0.0165,01/01/1971 - 12/31/1971,NA,1.012,1.097,1.044,0.669,0.658,0.67,0.293,0.243,0.854,0.751
"CALLAWAY BAYOU, EAST BAY",8729063,30.1367,-85.5717,0.0235,09/01/1976 - 09/30/1976,NA,0.839,1.104,1.078,0.881,0.88,0.885,0.684,0.666,0.438,0.393
BOOT KEY HARBOR,8723971,24.7033,-81.105,0.0221,04/01/1975 - 05/31/1975,NA,1.081,1.108,1.038,0.804,0.809,0.812,0.569,0.516,0.592,0.469
"LOWER MATECUMBE KEY, FLA. BAY",8723852,24.865,-80.7167,0.0176,01/01/1971 - 12/31/1971,NA,1.206,1.109,1.067,0.952,0.949,0.96,0.837,0.81,0.298,0.229
"USCG STA., ISLAMORADA, SNAKE CR",8723786,24.9533,-80.5867,0.0227,05/01/1975 - 05/31/1975,NA,1.211,1.109,1.08,0.958,0.958,0.963,0.836,0.817,0.292,0.244
"LONG SHOAL, MACDILL AFB",8726604,27.855,-82.48,0.0172,12/01/1975 - 12/31/1975,NA,0.816,1.11,1.044,0.742,0.76,0.717,0.44,0.324,0.786,0.605
"WHITE CITY, INTERCOASTAL WATER WAY, FL",8728853,29.880694,-85.221444,0.0092,01/01/2009 - 12/31/2010,NA,0.824,1.11,1.09,0.959,0.96,0.956,0.828,0.802,0.309,0.262
"PASS CHRISTIAN YACHT CLUB, MISS. SOUND",8746819,30.31,-89.245,0.011,12/01/1979 - 11/30/1980,NA,0.7,1.113,1.086,0.853,0.854,0.85,0.62,0.587,0.526,0.467
ALLIGATOR POINT,8728288,29.9033,-84.4133,0.0174,10/01/1975 - 11/30/1975,NA,0.73,1.113,1.04,0.745,0.715,0.688,0.449,0.263,0.85,0.59
"CAT POINT, APALACHICOLA BAY",8728619,29.7233,-84.8867,0.0195,03/01/1984 - 03/31/1984,NA,0.825,1.116,1.023,0.781,0.776,0.715,0.539,0.314,0.803,0.485
"ST. ANDREW SOUND, EAST END",8729022,29.97,-85.48,0.0232,07/01/1976 - 08/31/1976,NA,0.871,1.117,1.075,0.903,0.9,0.902,0.73,0.686,0.431,0.344
SADDLEBUNCH CHANNEL NO. 3,8724405,24.6233,-81.6033,0.0262,02/01/1975 - 02/28/1975,NA,1.06,1.118,1.038,0.946,0.927,0.979,0.854,0.84,0.278,0.185
TURTLE MOUND,8721223,28.9267,-80.825,0.043,03/01/1979 - 03/31/1979,NA,1.124,1.118,1.087,1.018,1.003,1.033,0.949,0.948,0.17,0.138
"CONTENT KEY,GULF OF MEXICO",8724307,24.79,-81.4833,0.0222,03/01/1974 - 02/28/1975,NA,0.911,1.12,1.047,0.621,0.625,0.59,0.196,0.061,1.059,0.851
"SEBASTIAN, INDIAN RIVER",8722029,27.8117,-80.4633,0.0128,08/01/1969 - 07/31/1970; 09/01/1972 - 08/31/1973,NA,1.333,1.127,1.105,1.059,1.059,1.059,1.012,0.991,0.135,0.092
"HUDSON, HUDSON CREEK",8727061,28.3617,-82.71,0.0232,09/01/1978 - 11/30/1978,NA,0.786,1.135,1.026,0.648,0.662,0.626,0.27,0.116,1.019,0.756
"TAMPA, BALLAST POINT",8726639,27.89,-82.48,0.0172,07/01/1996 - 09/30/1996,NA,0.85,1.142,1.049,0.747,0.758,0.727,0.445,0.312,0.831,0.604
"MICCO, INDIAN RIVER",8721994,27.8733,-80.4967,0.0186,04/01/1972 - 04/30/1972,NA,1.348,1.147,1.131,1.09,1.09,1.087,1.049,1.027,0.119,0.082
PALMA SOLA BAY NORTH,8726249,27.5033,-82.6483,0.0167,04/01/1977 - 10/31/1977,NA,0.928,1.148,1.067,0.819,0.823,0.813,0.572,0.479,0.67,0.495
"OREGON INLET MARINA, PAMLICO SOUND",8652587,35.795,-75.5483,7.00E-04,01/01/1995 - 12/31/2011,NA,1.003,1.148,1.105,0.966,0.965,0.968,0.828,0.788,0.36,0.276
"REDFISH POINT, MANATEE RIVER",8726278,27.5267,-82.4817,0.0283,09/01/1977 - 09/30/1977,NA,0.903,1.149,1.076,0.816,0.824,0.801,0.556,0.453,0.696,0.52
BIG PINE KEY VIADUCT,8724211,24.67,-81.3683,0.016,01/01/1974 - 12/31/1974,NA,1.192,1.149,1.079,0.958,0.963,0.982,0.838,0.815,0.335,0.241
"TARPON CREEK, SUGARLOAF KEY",8724334,24.63,-81.5167,0.026,04/01/1974 - 04/30/1974,NA,1.268,1.156,1.128,1.059,1.057,1.061,0.99,0.966,0.19,0.138
HILLSBORO,8722859,26.26,-80.085,0.0169,05/01/1973 - 10/31/1973,NA,1.02,1.157,1.118,0.752,0.748,0.749,0.386,0.341,0.817,0.731
"WEDNESDAY POINT, KEY LARGO",8723518,25.31,-80.2983,0.0256,11/01/1971 - 02/29/1972,NA,1.282,1.163,1.152,1.038,1.03,1.032,0.924,0.9,0.263,0.227
LAKE WORTH CREEK,8722512,26.9117,-80.08,0.0199,03/01/1973 - 03/31/1973,NA,1.112,1.166,1.122,0.808,0.811,0.807,0.494,0.448,0.718,0.627
"MATANZAS PASS, ESTERO ISLAND",8725366,26.4567,-81.9533,0.018,06/01/1973 - 06/30/1973,NA,1.038,1.167,1.087,0.812,0.817,0.77,0.537,0.373,0.794,0.55
"STUART, ST. LUCIE RIVER",8722357,27.2,-80.2583,0.0227,07/01/1969 - 06/30/1970,NA,1.254,1.167,1.134,1.003,1.006,1.002,0.872,0.838,0.329,0.262
"GADSDEN POINT, TAMPA BAY",8726573,27.8217,-82.485,0.0153,12/01/1975 - 12/31/1975,NA,0.911,1.168,1.092,0.815,0.833,0.793,0.538,0.418,0.749,0.555
DELRAY BEACH,8722746,26.4733,-80.0617,0.0248,04/01/1973 - 05/31/1973,NA,1.027,1.17,1.124,0.746,0.729,0.748,0.367,0.325,0.845,0.757
"EL JOBEAN, MYAKKA RIVER",8725769,26.9617,-82.21,0.022,08/01/1977 - 12/31/1977,NA,1.053,1.171,1.092,0.894,0.894,0.866,0.696,0.562,0.609,0.396
MISSOURI-OHIO CHANNEL,8724107,24.6733,-81.2433,0.0186,03/01/1975 - 03/31/1975,NA,1.221,1.176,1.104,0.946,0.952,0.962,0.788,0.748,0.428,0.316
TIERRA VERDE,8726428,27.6883,-82.7183,0.0161,06/01/1990 - 10/31/1990,NA,0.991,1.177,1.095,0.858,0.865,0.848,0.622,0.518,0.659,0.473
"PT. CHARLES, GAGE 'C', KEY LARGO",8723691,25.0817,-80.45,0.0258,05/01/1975 - 07/31/1975,NA,1.099,1.179,1.151,0.876,0.85,0.877,0.601,0.575,0.604,0.55
JUPITER WEST,8722492,26.9467,-80.09,0.018,02/01/1973 - 06/30/1973; 08/01/1973 - 10/31/1973,NA,1.172,1.181,1.135,0.836,0.828,0.836,0.536,0.491,0.691,0.599
BIG PINE KEY NORTH END,8724231,24.745,-81.395,0.028,10/01/1974 - 11/30/1974,NA,1.143,1.184,1.126,0.927,0.885,0.924,0.727,0.664,0.519,0.399
PIGEON KEY (INSIDE),8724033,24.705,-81.1567,0.0247,11/01/1973 - 12/31/1973,NA,1.283,1.187,1.108,1.019,1.032,1.038,0.93,0.889,0.297,0.178
